sigma,scale,samples,guard,method,trials,reachable_rate,overall_success,future_success,current_success,detects_unreachable,false_certificate,mean_norm,mean_min_margin,mean_rank,mean_null_dim
0.1,1.25,8,0.0,estimated,32,1.0,0.03125,0.03125,0.65625,0.0,0.96875,0.524169069470614,-0.10020514875097443,3.0,0.0
0.1,1.25,8,0.5,guard_0.5,32,1.0,0.125,0.125,0.875,0.0,0.875,0.620972048376344,-0.05306660429943083,3.0,0.0
0.1,1.25,8,1.0,guard_1.0,32,1.0,0.59375,0.59375,0.96875,0.0,0.40625,0.7297868270511461,-0.005744727124910074,3.0,0.0
0.1,1.25,32,0.0,estimated,32,1.0,0.0,0.0,0.5,0.0,1.0,0.48621678877720576,-0.12654912319402944,3.0,0.0
0.1,1.25,32,0.5,guard_0.5,32,1.0,0.0625,0.0625,0.65625,0.0,0.9375,0.5304143262401664,-0.10140545506128429,3.0,0.0
0.1,1.25,32,1.0,guard_1.0,32,1.0,0.25,0.25,0.875,0.0,0.75,0.5792859645185562,-0.07287382722943087,3.0,0.0
0.1,1.25,128,0.0,estimated,32,1.0,0.0,0.0,0.625,0.0,1.0,0.4256296938320554,-0.1135855551684389,3.0,0.0
0.1,1.25,128,0.5,guard_0.5,32,1.0,0.0,0.0,0.6875,0.0,1.0,0.44299185248467876,-0.09987025283327572,3.0,0.0
0.1,1.25,128,1.0,guard_1.0,32,1.0,0.0,0.0,0.78125,0.0,1.0,0.46100800835139555,-0.08657293832497615,3.0,0.0
0.2,0.75,8,0.0,estimated,32,1.0,0.53125,0.53125,0.6875,0.0,0.15625,1.257972130347249,-0.23342098711981576,3.0,0.0
0.2,0.75,8,0.5,guard_0.5,32,1.0,0.5625,0.5625,0.625,0.0,0.09375,1.5782386763625913,-0.16906598369063502,3.0,0.0
0.2,0.75,8,1.0,guard_1.0,32,1.0,0.53125,0.53125,0.53125,0.0,0.03125,1.7834178894199009,-0.15051467516973377,3.0,0.0
0.2,0.75,32,0.0,estimated,32,1.0,0.6875,0.6875,0.90625,0.0,0.21875,0.8628048122496492,0.005944688454078166,3.0,0.0
0.2,0.75,32,0.5,guard_0.5,32,1.0,0.78125,0.78125,0.90625,0.0,0.125,1.0020207797888703,0.04672357945657516,3.0,0.0
0.2,0.75,32,1.0,guard_1.0,32,1.0,0.8125,0.8125,0.90625,0.0,0.09375,1.1539461848287504,0.08989375268339878,3.0,0.0
0.2,0.75,128,0.0,estimated,32,1.0,0.84375,0.84375,0.9375,0.0,0.09375,0.9146360723081596,0.0002525110095290689,3.0,0.0
0.2,0.75,128,0.5,guard_0.5,32,1.0,0.875,0.875,0.90625,0.0,0.03125,0.9230469117092693,-0.004339934151472921,3.0,0.0
0.2,0.75,128,1.0,guard_1.0,32,1.0,0.90625,0.90625,0.90625,0.0,0.0,0.9996145581355772,0.023531186209050717,3.0,0.0
0.2,1.0,8,0.0,estimated,32,1.0,0.4375,0.4375,0.75,0.0,0.40625,0.8066695378440227,-0.12002777680556499,3.0,0.0
0.2,1.0,8,0.5,guard_0.5,32,1.0,0.625,0.625,0.78125,0.0,0.1875,0.9877934940539159,-0.08158403941781717,3.0,0.0
0.2,1.0,8,1.0,guard_1.0,32,1.0,0.6875,0.6875,0.8125,0.0,0.125,1.2423474604942202,-0.016343030778658153,3.0,0.0
0.2,1.0,32,0.0,estimated,32,1.0,0.4375,0.4375,0.75,0.0,0.40625,0.7542581708061128,-0.20272461676271517,3.0,0.0
0.2,1.0,32,0.5,guard_0.5,32,1.0,0.71875,0.71875,0.8125,0.0,0.09375,0.8157374287734483,-0.17946297886096912,3.0,0.0
0.2,1.0,32,1.0,guard_1.0,32,1.0,0.75,0.75,0.78125,0.0,0.03125,0.88215812528597,-0.17752791984575814,3.0,0.0
0.2,1.0,128,0.0,estimated,32,1.0,0.34375,0.34375,0.875,0.0,0.53125,0.8023615259727939,-0.10773923153873756,3.0,0.0
0.2,1.0,128,0.5,guard_0.5,32,1.0,0.78125,0.78125,0.875,0.0,0.09375,0.8770421630082775,-0.0821125275000577,3.0,0.0
0.2,1.0,128,1.0,guard_1.0,32,1.0,0.875,0.875,0.875,0.0,0.0,0.9556940951709374,-0.05533015235845812,3.0,0.0
0.2,1.25,8,0.0,estimated,32,1.0,0.25,0.25,0.59375,0.0,0.53125,0.6893115116587802,-0.26554000693459956,3.0,0.0
0.2,1.25,8,0.5,guard_0.5,32,1.0,0.5625,0.5625,0.65625,0.0,0.1875,0.9084341185935322,-0.20988901878238164,3.0,0.0
0.2,1.25,8,1.0,guard_1.0,32,1.0,0.59375,0.59375,0.71875,0.0,0.125,1.0836141324910689,-0.16085650988444433,3.0,0.0
0.2,1.25,32,0.0,estimated,32,1.0,0.09375,0.09375,0.53125,0.0,0.8125,0.6650943181706552,-0.14177862915042513,3.0,0.0
0.2,1.25,32,0.5,guard_0.5,32,1.0,0.28125,0.28125,0.6875,0.0,0.625,0.8031194479498478,-0.07240444456727202,3.0,0.0
0.2,1.25,32,1.0,guard_1.0,32,1.0,0.5625,0.5625,0.8125,0.0,0.3125,0.87368130759275,-0.026049403291738823,3.0,0.0
0.2,1.25,128,0.0,estimated,32,1.0,0.0625,0.0625,0.625,0.0,0.875,0.6017378990250573,-0.2377548641587094,3.0,0.0
0.2,1.25,128,0.5,guard_0.5,32,1.0,0.0625,0.0625,0.65625,0.0,0.875,0.6521034119730369,-0.21698520937282062,3.0,0.0
0.2,1.25,128,1.0,guard_1.0,32,1.0,0.09375,0.09375,0.6875,0.0,0.84375,0.7050847340325641,-0.19566023908466026,3.0,0.0
